,proto_acc,proto_CI,match_acc,match_CI,rel_acc,rel_CI,proto_prec_avg,match_prec_avg,rel_prec_avg,proto_rec_avg,match_rec_avg,rel_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.6257),tensor(2.6394),tensor(0.6620),tensor(2.2171),tensor(0.5247),tensor(2.5610),0.632600121,0.744693935,0.526358283,0.625666667,0.662,0.524666667
"(3,15)_TiO2(110)_40pix",tensor(0.6547),tensor(2.5167),tensor(0.6753),tensor(2.4824),tensor(0.4987),tensor(1.2594),0.667155003,0.736751517,0.498661849,0.654666667,0.675333333,0.498666667
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6583),tensor(2.3315),tensor(0.6043),tensor(3.1623),tensor(0.5453),tensor(2.5927),0.678214196,0.613254845,0.545803666,0.658333333,0.604333333,0.545333333
"(1,15)_TiO2(110)_40pix",tensor(0.6480),tensor(2.3808),tensor(0.6103),tensor(2.5460),tensor(0.5333),tensor(1.9234),0.664884135,0.622515695,0.536409464,0.648,0.610333333,0.533333333
"(3,15)_Si(001)_40pix_inv",tensor(0.9912),tensor(0.2562),tensor(0.8527),tensor(1.1446),tensor(0.4203),tensor(0.9246),0.991300894,0.867779526,0.455247082,0.991166667,0.852666667,0.420333333
"(3,15)_Si(001)_40pix",tensor(0.9460),tensor(0.6283),tensor(0.8570),tensor(1.5400),tensor(0.4657),tensor(1.8431),0.94704551,0.874472008,0.389966354,0.946,0.857,0.465666667
"(1,15)_Si(001)_40pix_inv",tensor(0.9170),tensor(1.1495),tensor(0.7457),tensor(1.8424),tensor(0.4657),tensor(1.7147),0.920354926,0.761036013,0.450850383,0.917,0.745666667,0.465666667
"(1,15)_Si(001)_40pix",tensor(0.8665),tensor(1.5878),tensor(0.8190),tensor(1.7129),tensor(0.7062),tensor(1.8841),0.870433253,0.834325466,0.719343543,0.8665,0.819,0.706166667
"(3,15)_Ge(001)_40pix_inv",tensor(0.6703),tensor(2.1071),tensor(0.5930),tensor(2.0319),tensor(0.3452),tensor(1.3086),0.662594493,0.585266206,0.367962459,0.66128298,0.584094864,0.34148458
"(3,15)_Ge(001)_40pix",tensor(0.6260),tensor(2.1147),tensor(0.4638),tensor(1.6198),tensor(0.2947),tensor(1.3804),0.613810835,0.477818743,0.320264883,0.616711767,0.463651571,0.301670338
"(1,15)_Ge(001)_40pix_inv",tensor(0.4983),tensor(2.3194),tensor(0.4770),tensor(1.7648),tensor(0.3987),tensor(1.6394),0.509896076,0.465246238,0.392579188,0.491256947,0.469389841,0.395561934
"(1,15)_Ge(001)_40pix",tensor(0.5105),tensor(1.9724),tensor(0.4372),tensor(1.8928),tensor(0.3200),tensor(1.5188),0.508936943,0.447978754,0.304232098,0.503788591,0.4373354,0.315464528
