,proto_acc,match_acc,rel_acc,proto_precisions,match_precisions,rel_precisions,proto_recalls,match_recalls,rel_recalls,proto_prec_avg,match_prec_avg,rel_prec_avg,proto_rec_avg,match_rec_avg,rel_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.7380),tensor(0.6397),tensor(0.5057),"{0: 0.7989949748743719, 1: 0.6976744186046512}","{0: 0.7745740498034076, 1: 0.5936522127849799}","{0: 0.5062271062271062, 1: 0.5051987767584097}","{0: 0.636, 1: 0.84}","{0: 0.394, 1: 0.8853333333333333}","{0: 0.46066666666666667, 1: 0.5506666666666666}",0.748334697,0.684113131,0.505712941,0.738,0.639666667,0.505666667
"(3,15)_TiO2(110)_40pix",tensor(0.7130),tensor(0.6620),tensor(0.4997),"{0: 0.8290422245108136, 1: 0.657466732380483}","{0: 0.8693009118541033, 1: 0.6037574722459437}","{0: 0.49968533668974197, 1: 0.49964564138908574}","{0: 0.5366666666666666, 1: 0.8893333333333333}","{0: 0.38133333333333336, 1: 0.9426666666666667}","{0: 0.5293333333333333, 1: 0.47}",0.743254478,0.736529192,0.499665489,0.713,0.662,0.499666667
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6250),tensor(0.6100),tensor(0.5017),"{0: 0.72294887039239, 1: 0.5868457619268179}","{0: 0.6586538461538461, 1: 0.5841836734693877}","{0: 0.5015673981191222, 1: 0.501779359430605}","{0: 0.4053333333333333, 1: 0.8446666666666667}","{0: 0.45666666666666667, 1: 0.7633333333333333}","{0: 0.5333333333333333, 1: 0.47}",0.654897316,0.62141876,0.501673379,0.625,0.61,0.501666667
"(1,15)_TiO2(110)_40pix",tensor(0.6430),tensor(0.6073),tensor(0.4920),"{0: 0.7789336801040312, 1: 0.5961452263558942}","{0: 0.7333333333333333, 1: 0.5696969696969697}","{0: 0.4922077922077922, 1: 0.4917808219178082}","{0: 0.3993333333333333, 1: 0.8866666666666667}","{0: 0.3373333333333333, 1: 0.8773333333333333}","{0: 0.5053333333333333, 1: 0.4786666666666667}",0.687539453,0.651515152,0.491994307,0.643,0.607333333,0.492
"(3,15)_Si(001)_40pix_inv",tensor(0.8622),tensor(0.7715),tensor(0.3340),"{0: 0.9598705501618123, 1: 0.8122400475341652, 2: 0.7955635491606715, 3: 0.9021739130434783}","{0: 0.9031855090568395, 1: 0.859638178415471, 2: 0.6157431382703262, 3: 0.7121387283236994}","{0: 0.3194233687405159, 1: 0.29799247176913424, 2: 0.3713188220230474, 3: 0.48106591865357645}","{0: 0.9886666666666667, 1: 0.9113333333333333, 2: 0.8846666666666667, 3: 0.664}","{0: 0.964, 1: 0.9186666666666666, 2: 0.7926666666666666, 3: 0.4106666666666667}","{0: 0.2806666666666667, 1: 0.6333333333333333, 2: 0.19333333333333333, 3: 0.22866666666666666}",0.867462015,0.772676389,0.367450145,0.862166667,0.7715,0.334
"(3,15)_Si(001)_40pix",tensor(0.8547),tensor(0.5693),tensor(0.2940),"{0: 0.983750846310088, 1: 0.7843713278495887, 2: 0.7633209417596035, 3: 0.9179784589892295}","{0: 0.859493670886076, 1: 0.4769723668402083, 2: 0.4709193245778612, 3: 0.425904317386231}","{0: 0.26936619718309857, 1: 0.2601626016260163, 2: 0.2621951219512195, 3: 0.3251617296561117}","{0: 0.9686666666666667, 1: 0.89, 2: 0.8213333333333334, 3: 0.7386666666666667}","{0: 0.9053333333333333, 1: 0.794, 2: 0.33466666666666667, 3: 0.24333333333333335}","{0: 0.204, 1: 0.192, 2: 0.14333333333333334, 3: 0.6366666666666667}",0.862355394,0.55832242,0.279221413,0.854666667,0.569333333,0.294
"(1,15)_Si(001)_40pix_inv",tensor(0.7733),tensor(0.6765),tensor(0.4313),"{0: 0.9858299595141701, 1: 0.8058252427184466, 2: 0.6012024048096193, 3: 0.7448512585812357}","{0: 0.8020304568527918, 1: 0.6421800947867299, 2: 0.6125541125541125, 3: 0.6105810928013877}","{0: 0.3778642455685257, 1: 0.5537513997760358, 2: 0.2123222748815166, 3: 0.5921985815602837}","{0: 0.974, 1: 0.8853333333333333, 2: 0.8, 3: 0.434}","{0: 0.948, 1: 0.7226666666666667, 2: 0.566, 3: 0.4693333333333333}","{0: 0.5826666666666667, 1: 0.6593333333333333, 2: 0.14933333333333335, 3: 0.334}",0.784427216,0.666836439,0.434034125,0.773333333,0.6765,0.431333333
"(1,15)_Si(001)_40pix",tensor(0.7798),tensor(0.6122),tensor(0.2495),"{0: 0.9902506963788301, 1: 0.6951466127401416, 2: 0.6810495626822157, 3: 0.8197474167623421}","{0: 0.7363265306122448, 1: 0.5380267214799589, 2: 0.5326721120186698, 3: 0.7273542600896861}","{0: 0.24531956100710137, 1: 0.25092707045735474, 2: 0.25152439024390244, 3: 0.2504930966469428}","{0: 0.948, 1: 0.9166666666666666, 2: 0.7786666666666666, 3: 0.476}","{0: 0.6013333333333334, 1: 0.698, 2: 0.6086666666666667, 3: 0.5406666666666666}","{0: 0.25333333333333335, 1: 0.27066666666666667, 2: 0.22, 3: 0.254}",0.796548572,0.633594906,0.24956603,0.779833333,0.612166667,0.2495
"(3,15)_Ge(001)_40pix_inv",tensor(0.8102),tensor(0.5255),tensor(0.3507),"{0: 0.9583952451708767, 1: 0.6347826086956522, 2: 0.7804131599081867, 3: 0.7370892018779343, 4: 0.9469026548672567}","{0: 0.9991532599491956, 1: 0.38354253835425384, 2: 0.38369611609048226, 3: 0.3823008849557522, 4: 0.4882747068676717}","{0: 0.4247410115783059, 1: 0.29764549089293646, 2: 0.38189533239038187, 3: 0.2619047619047619, 4: 0.3275862068965517}","{0: 1.0, 1: 0.6609053497942387, 2: 0.85, 3: 0.7370892018779343, 4: 0.7829268292682927}","{0: 0.9147286821705426, 1: 0.22633744855967078, 2: 0.7491666666666666, 3: 0.2028169014084507, 4: 0.4739837398373984}","{0: 0.5403100775193799, 1: 0.551440329218107, 2: 0.45, 3: 0.1136150234741784, 4: 0.061788617886178863}",0.811516574,0.527393501,0.338754561,0.806184276,0.513406688,0.34343081
"(3,15)_Ge(001)_40pix",tensor(0.7575),tensor(0.5305),tensor(0.2493),"{0: 0.9477172312223858, 1: 0.5802770986145069, 2: 0.7421335379892555, 3: 0.6435185185185185, 4: 0.8565891472868217}","{0: 0.9529190207156308, 1: 0.41388888888888886, 2: 0.38343685300207037, 3: 0.33970460469157254, 4: 0.852760736196319}","{0: 0.2468680913780398, 1: 0.24829351535836178, 2: 0.2518059855521156, 3: 0.24908692476260044, 4: 0.25154457193292146}","{0: 0.9976744186046511, 1: 0.5860082304526749, 2: 0.8058333333333333, 3: 0.6525821596244131, 4: 0.71869918699187}","{0: 0.7844961240310078, 1: 0.24526748971193416, 2: 0.7716666666666666, 3: 0.3671361502347418, 4: 0.45203252032520325}","{0: 0.2596899224806202, 1: 0.23950617283950618, 2: 0.20333333333333334, 3: 0.32018779342723, 4: 0.23170731707317074}",0.754047107,0.588542021,0.249519818,0.752159466,0.52411979,0.250884908
