,proto_acc,match_acc,rel_acc,proto_precisions,match_precisions,rel_precisions,proto_recalls,match_recalls,rel_recalls,proto_prec_avg,match_prec_avg,rel_prec_avg,proto_rec_avg,match_rec_avg,rel_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.6563),tensor(0.6327),tensor(0.5230),"{0: 0.6241397564849126, 1: 0.7110711071107111}","{0: 0.5850427350427351, 1: 0.8015151515151515}","{0: 0.563302752293578, 1: 0.5140529531568228}","{0: 0.786, 1: 0.5266666666666666}","{0: 0.9126666666666666, 1: 0.3526666666666667}","{0: 0.20466666666666666, 1: 0.8413333333333334}",0.667605432,0.693278943,0.538677853,0.656333333,0.632666667,0.523
"(3,15)_TiO2(110)_40pix",tensor(0.6453),tensor(0.6250),tensor(0.5117),"{0: 0.6160809371671991, 1: 0.6942959001782532}","{0: 0.5807841447651875, 1: 0.7761413843888071}","{0: 0.5209580838323353, 1: 0.5080831408775982}","{0: 0.7713333333333333, 1: 0.5193333333333333}","{0: 0.8986666666666666, 1: 0.35133333333333333}","{0: 0.29, 1: 0.7333333333333333}",0.655188419,0.678462765,0.514520612,0.645333333,0.625,0.511666667
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6770),tensor(0.6090),tensor(0.5100),"{0: 0.6299559471365639, 1: 0.7774294670846394}","{0: 0.5857367593078133, 1: 0.6495882891125343}","{0: 0.5106837606837606, 1: 0.5093984962406015}","{0: 0.858, 1: 0.496}","{0: 0.7446666666666667, 1: 0.47333333333333333}","{0: 0.478, 1: 0.542}",0.703692707,0.617662524,0.510041128,0.677,0.609,0.51
"(1,15)_TiO2(110)_40pix",tensor(0.6213),tensor(0.6293),tensor(0.5730),"{0: 0.5915492957746479, 1: 0.6798418972332015}","{0: 0.5973895582329317, 1: 0.6924603174603174}","{0: 0.6223463687150838, 1: 0.5520190023752969}","{0: 0.784, 1: 0.45866666666666667}","{0: 0.7933333333333333, 1: 0.4653333333333333}","{0: 0.37133333333333335, 1: 0.7746666666666666}",0.635695597,0.644924938,0.587182686,0.621333333,0.629333333,0.573
"(3,15)_Si(001)_40pix_inv",tensor(0.9738),tensor(0.8595),tensor(0.5405),"{0: 0.9721322099805574, 1: 0.9792780748663101, 2: 0.975828729281768, 3: 0.9682749504296101}","{0: 0.8229342327150084, 1: 0.960650128314799, 2: 0.9861751152073732, 3: 0.762582613116421}","{0: 0.8611764705882353, 1: 0.7295430393198725, 2: 0.11547344110854503, 3: 0.4460122699386503}","{0: 1.0, 1: 0.9766666666666667, 2: 0.942, 3: 0.9766666666666667}","{0: 0.976, 1: 0.7486666666666667, 2: 0.7133333333333334, 3: 1.0}","{0: 0.244, 1: 0.9153333333333333, 2: 0.03333333333333333, 3: 0.9693333333333334}",0.973878491,0.883085522,0.538051305,0.973833333,0.8595,0.5405
"(3,15)_Si(001)_40pix",tensor(0.9735),tensor(0.7687),tensor(0.5387),"{0: 0.9589480436177037, 1: 0.9758551307847082, 2: 0.983927323549965, 3: 0.9763001974983542}","{0: 0.9316345556246115, 1: 0.9386281588447654, 2: 0.6402502606882169, 3: 0.5857352222765022}","{0: 0.7922987164527421, 1: 0.7793814432989691, 2: 0.3919172932330827, 3: 0.3942272561198392}","{0: 0.9966666666666667, 1: 0.97, 2: 0.9386666666666666, 3: 0.9886666666666667}","{0: 0.9993333333333333, 1: 0.8666666666666667, 2: 0.4093333333333333, 3: 0.7993333333333333}","{0: 0.9053333333333333, 1: 0.252, 2: 0.278, 3: 0.7193333333333334}",0.973757674,0.774062049,0.589456177,0.9735,0.768666667,0.538666667
"(1,15)_Si(001)_40pix_inv",tensor(0.9545),tensor(0.7863),tensor(0.3623),"{0: 0.9678055190538765, 1: 0.9753004005340454, 2: 0.9140271493212669, 3: 0.9623168178646196}","{0: 0.737467018469657, 1: 0.7030120481927711, 2: 0.8011583011583011, 3: 0.9354330708661417}","{0: 0.35349529003470503, 1: 0.3795518207282913, 2: 0.24626209322779244, 3: 0.4506346967559944}","{0: 0.982, 1: 0.974, 2: 0.9426666666666667, 3: 0.9193333333333333}","{0: 0.7453333333333333, 1: 0.778, 2: 0.83, 3: 0.792}","{0: 0.47533333333333333, 1: 0.36133333333333334, 2: 0.18666666666666668, 3: 0.426}",0.954862472,0.79426761,0.357485975,0.9545,0.786333333,0.362333333
"(1,15)_Si(001)_40pix",tensor(0.8703),tensor(0.7227),tensor(0.5475),"{0: 0.8889566809029896, 1: 0.8103779628443306, 2: 0.8351177730192719, 3: 0.9506790564689064}","{0: 0.7495987158908507, 1: 0.8326068003487358, 2: 0.7042380522993688, 3: 0.6394666666666666}","{0: 0.6287663445139283, 1: 0.6722268557130943, 2: 0.38657171922685657, 3: 0.48227294803302573}","{0: 0.9713333333333334, 1: 0.8433333333333334, 2: 0.78, 3: 0.8866666666666667}","{0: 0.934, 1: 0.6366666666666667, 2: 0.5206666666666667, 3: 0.7993333333333333}","{0: 0.7373333333333333, 1: 0.5373333333333333, 2: 0.25333333333333335, 3: 0.662}",0.871282868,0.731477559,0.542459467,0.870333333,0.722666667,0.5475
"(3,15)_Ge(001)_40pix_inv",tensor(0.6595),tensor(0.5733),tensor(0.2593),"{0: 0.9758566978193146, 1: 0.443620178041543, 2: 0.6686241610738255, 3: 0.5146022155085599, 4: 0.6745562130177515}","{0: 0.9974704890387859, 1: 0.41808510638297874, 2: 0.4349291975724882, 3: 0.3992963940193492, 4: 0.6100478468899522}","{0: 0.24749163879598662, 1: 0.24122310305775765, 2: 0.2973523421588595, 3: 0.30210772833723654, 4: 0.33974358974358976}","{0: 0.9713178294573643, 1: 0.49218106995884775, 2: 0.6641666666666667, 3: 0.47981220657276996, 4: 0.6487804878048781}","{0: 0.9170542635658915, 1: 0.3234567901234568, 2: 0.5375, 3: 0.4262910798122066, 4: 0.6219512195121951}","{0: 0.7457364341085271, 1: 0.17530864197530865, 2: 0.12166666666666667, 3: 0.12112676056338029, 4: 0.08617886178861789}",0.655451893,0.571965807,0.28558368,0.651251652,0.565250671,0.250003473
"(3,15)_Ge(001)_40pix",tensor(0.6497),tensor(0.5158),tensor(0.2523),"{0: 0.9216417910447762, 1: 0.4302416212003118, 2: 0.6385245901639345, 3: 0.5164948453608248, 4: 0.7000842459983151}","{0: 0.9762845849802372, 1: 0.35529157667386607, 2: 0.38885202388852025, 3: 0.3633916554508748, 4: 0.6099158091674463}","{0: 0.2522823424627032, 1: 0.29454545454545455, 2: 0.23605150214592274, 3: 0.2877906976744186, 4: 0.2222222222222222}","{0: 0.9573643410852714, 1: 0.454320987654321, 2: 0.6491666666666667, 3: 0.4704225352112676, 4: 0.675609756097561}","{0: 0.765891472868217, 1: 0.2707818930041152, 2: 0.48833333333333334, 3: 0.5070422535211268, 4: 0.5300813008130081}","{0: 0.8782945736434109, 1: 0.06666666666666667, 2: 0.04583333333333333, 3: 0.09295774647887324, 4: 0.11869918699186992}",0.641397419,0.53874713,0.258578444,0.641376857,0.512426051,0.240490301
