,proto_acc,match_acc,rel_acc,proto_precisions,match_precisions,rel_precisions,proto_recalls,match_recalls,rel_recalls,proto_prec_avg,match_prec_avg,rel_prec_avg,proto_rec_avg,match_rec_avg,rel_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.7080),tensor(0.6450),tensor(0.5087),"{0: 0.6603288797533402, 1: 0.7960151802656547}","{0: 0.5918884664131813, 1: 0.8436018957345972}","{0: 0.5220338983050847, 1: 0.5053941908713693}","{0: 0.8566666666666667, 1: 0.5593333333333333}","{0: 0.934, 1: 0.356}","{0: 0.20533333333333334, 1: 0.812}",0.72817203,0.717745181,0.513714045,0.708,0.645,0.508666667
"(3,15)_TiO2(110)_40pix",tensor(0.7250),tensor(0.6667),tensor(0.5353),"{0: 0.6733436055469953, 1: 0.8205128205128205}","{0: 0.6096491228070176, 1: 0.8472222222222222}","{0: 0.5360054347826086, 1: 0.5346858638743456}","{0: 0.874, 1: 0.576}","{0: 0.9266666666666666, 1: 0.4066666666666667}","{0: 0.526, 1: 0.5446666666666666}",0.746928213,0.728435673,0.535345649,0.725,0.666666667,0.535333333
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6637),tensor(0.6187),tensor(0.4623),"{0: 0.6212345679012345, 1: 0.7517948717948718}","{0: 0.5903553299492386, 1: 0.6728155339805825}","{0: 0.465778316172017, 1: 0.458117123795404}","{0: 0.8386666666666667, 1: 0.4886666666666667}","{0: 0.7753333333333333, 1: 0.462}","{0: 0.5126666666666667, 1: 0.412}",0.68651472,0.631585432,0.46194772,0.663666667,0.618666667,0.462333333
"(1,15)_TiO2(110)_40pix",tensor(0.6343),tensor(0.6377),tensor(0.6260),"{0: 0.6023362112747588, 1: 0.6954413191076625}","{0: 0.6044511886697016, 1: 0.7018572825024438}","{0: 0.5965270684371808, 1: 0.6813819577735125}","{0: 0.7906666666666666, 1: 0.478}","{0: 0.7966666666666666, 1: 0.4786666666666667}","{0: 0.7786666666666666, 1: 0.47333333333333333}",0.648888765,0.653154236,0.638954513,0.634333333,0.637666667,0.626
"(3,15)_Si(001)_40pix_inv",tensor(0.9887),tensor(0.9445),tensor(0.6142),"{0: 0.9823066841415465, 1: 0.9993256911665542, 2: 0.9872397582269979, 3: 0.9860186418109188}","{0: 0.9654471544715447, 1: 0.9328214971209213, 2: 1.0, 3: 0.8944543828264758}","{0: 0.8986710963455149, 1: 0.7145510835913312, 2: 0.4556603773584906, 3: 0.0}","{0: 0.9993333333333333, 1: 0.988, 2: 0.98, 3: 0.9873333333333333}","{0: 0.95, 1: 0.972, 2: 0.856, 3: 1.0}","{0: 0.7213333333333334, 1: 0.7693333333333333, 2: 0.966, 3: 0.0}",0.988722694,0.948180759,0.517220639,0.988666667,0.9445,0.614166667
"(3,15)_Si(001)_40pix",tensor(0.9417),tensor(0.7602),tensor(0.5858),"{0: 0.995260663507109, 1: 0.9577647823261858, 2: 0.9143884892086331, 3: 0.9002509410288582}","{0: 0.9053133514986376, 1: 0.6466725043782837, 2: 0.7232704402515723, 3: 0.8033498759305211}","{0: 0.11180124223602485, 1: 0.6056572379367721, 2: 0.441027496382055, 3: 0.9323899371069182}","{0: 0.98, 1: 0.9826666666666667, 2: 0.8473333333333334, 3: 0.9566666666666667}","{0: 0.886, 1: 0.9846666666666667, 2: 0.30666666666666664, 3: 0.8633333333333333}","{0: 0.012, 1: 0.728, 2: 0.8126666666666666, 3: 0.7906666666666666}",0.941916219,0.769651543,0.522718978,0.941666667,0.760166667,0.585833333
"(1,15)_Si(001)_40pix_inv",tensor(0.9362),tensor(0.8428),tensor(0.5065),"{0: 0.9533376539209333, 1: 0.9716655148583275, 2: 0.8692933083176986, 3: 0.9567682494684621}","{0: 0.9178515007898894, 1: 0.7288715192965315, 2: 0.9721925133689839, 3: 0.8527397260273972}","{0: 0.35970333745364647, 1: 0.33012697191227397, 2: 0.6688741721854304, 3: 0.9178921568627451}","{0: 0.9806666666666667, 1: 0.9373333333333334, 2: 0.9266666666666666, 3: 0.9}","{0: 0.7746666666666666, 1: 0.9946666666666667, 2: 0.606, 3: 0.996}","{0: 0.388, 1: 0.572, 2: 0.06733333333333333, 3: 0.9986666666666667}",0.937766182,0.867913815,0.56914916,0.936166667,0.842833333,0.5065
"(1,15)_Si(001)_40pix",tensor(0.8773),tensor(0.7782),tensor(0.5473),"{0: 0.8220681686886193, 1: 0.8377412437455325, 2: 0.9006574141709277, 3: 0.9566955363091273}","{0: 0.7714129841789417, 1: 0.8211875843454791, 2: 0.769690927218345, 3: 0.7526753864447087}","{0: 0.6927374301675978, 1: 0.5858930602957907, 2: 0.40703517587939697, 3: 0.4896831245394252}","{0: 0.9486666666666667, 1: 0.7813333333333333, 2: 0.822, 3: 0.9573333333333334}","{0: 0.9426666666666667, 1: 0.8113333333333334, 2: 0.5146666666666667, 3: 0.844}","{0: 0.744, 1: 0.3433333333333333, 2: 0.216, 3: 0.886}",0.879290591,0.778741721,0.543837198,0.877333333,0.778166667,0.547333333
"(3,15)_Ge(001)_40pix_inv",tensor(0.6808),tensor(0.5703),tensor(0.3852),"{0: 0.9721175584024114, 1: 0.46281645569620256, 2: 0.7004716981132075, 3: 0.5356773526370218, 4: 0.6846153846153846}","{0: 0.9548672566371681, 1: 0.4177545691906005, 2: 0.4354948805460751, 3: 0.4146586345381526, 4: 0.6444444444444445}","{0: 0.7362471740768651, 1: 0.29375428963623884, 2: 0.2741730279898219, 3: 0.30594277329420394, 4: 0.20640569395017794}","{0: 1.0, 1: 0.48148148148148145, 2: 0.7425, 3: 0.4863849765258216, 4: 0.651219512195122}","{0: 0.8364341085271317, 1: 0.3950617283950617, 2: 0.5316666666666666, 3: 0.38779342723004695, 4: 0.6601626016260163}","{0: 0.7573643410852713, 1: 0.3522633744855967, 2: 0.3591666666666667, 3: 0.39154929577464787, 4: 0.04715447154471545}",0.67113969,0.573443957,0.363304592,0.672317194,0.562223706,0.38149963
"(3,15)_Ge(001)_40pix",tensor(0.6337),tensor(0.4498),tensor(0.3753),"{0: 0.9174649963154016, 1: 0.42912772585669784, 2: 0.6382978723404256, 3: 0.48792270531400966, 4: 0.6542649727767695}","{0: 0.5634285714285714, 1: 0.27788649706457924, 2: 0.40310077519379844, 3: 0.3404017857142857, 4: 0.5602049530315969}","{0: 1.0, 1: 0.2660332541567696, 2: 0.3057288712422008, 3: 0.2849851127179923, 4: 0.19642857142857142}","{0: 0.9651162790697675, 1: 0.4534979423868313, 2: 0.65, 3: 0.47417840375586856, 4: 0.5861788617886179}","{0: 0.7643410852713178, 1: 0.2337448559670782, 2: 0.39, 3: 0.2863849765258216, 4: 0.5333333333333333}","{0: 0.5922480620155038, 1: 0.18436213991769548, 2: 0.44916666666666666, 3: 0.6291079812206573, 4: 0.044715447154471545}",0.625415655,0.429004516,0.410635162,0.625794297,0.44156085,0.379920059
