,proto_acc,proto_precisions,proto_recalls,proto_prec_avg,proto_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.7043),"{0: 0.6588906168999482, 1: 0.7861811391223156}","{0: 0.8473333333333334, 1: 0.5613333333333334}",0.722535878,0.704333333
"(3,15)_TiO2(110)_40pix",tensor(0.7080),"{0: 0.660164271047228, 1: 0.7965779467680608}","{0: 0.8573333333333333, 1: 0.5586666666666666}",0.728371109,0.708
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6793),"{0: 0.6331683168316832, 1: 0.7744897959183673}","{0: 0.8526666666666667, 1: 0.506}",0.703829056,0.679333333
"(1,15)_TiO2(110)_40pix",tensor(0.6707),"{0: 0.6467889908256881, 1: 0.7038216560509554}","{0: 0.752, 1: 0.5893333333333334}",0.675305323,0.670666667
"(3,15)_Si(001)_40pix_inv",tensor(0.9435),"{0: 0.9657179818887451, 1: 0.9951790633608816, 2: 0.9224913494809689, 3: 0.892742453436095}","{0: 0.9953333333333333, 1: 0.9633333333333334, 2: 0.8886666666666667, 3: 0.9266666666666666}",0.944032712,0.9435
"(3,15)_Si(001)_40pix",tensor(0.9095),"{0: 1.0, 1: 0.9222222222222223, 2: 0.8229027962716379, 3: 0.8943661971830986}","{0: 0.9973333333333333, 1: 0.8853333333333333, 2: 0.824, 3: 0.9313333333333333}",0.909872804,0.9095
"(1,15)_Si(001)_40pix_inv",tensor(0.8205),"{0: 0.9705685618729097, 1: 0.9778699861687413, 2: 0.6753424657534246, 3: 0.6704190118824265}","{0: 0.9673333333333334, 1: 0.9426666666666667, 2: 0.6573333333333333, 3: 0.7146666666666667}",0.823550006,0.8205
"(1,15)_Si(001)_40pix",tensor(0.8362),"{0: 0.9966644429619747, 1: 0.9360426382411725, 2: 0.6922514619883041, 3: 0.7175245098039216}","{0: 0.996, 1: 0.9366666666666666, 2: 0.6313333333333333, 3: 0.7806666666666666}",0.835620763,0.836166667
"(3,15)_Ge(001)_40pix_inv",tensor(0.4707),"{0: 0.8364928909952607, 1: 0.3406998158379374, 2: 0.3857545839210155, 3: 0.31100478468899523, 4: 0.4413502109704641}","{0: 0.8209302325581396, 1: 0.3045267489711934, 2: 0.4558333333333333, 3: 0.3051643192488263, 4: 0.42520325203252035}",0.463060457,0.462331577
"(3,15)_Ge(001)_40pix",tensor(0.4970),"{0: 0.7696113074204947, 1: 0.3897058823529412, 2: 0.4530812324929972, 3: 0.3383084577114428, 4: 0.4674674674674675}","{0: 0.8441860465116279, 1: 0.30534979423868314, 2: 0.5391666666666667, 3: 0.38309859154929576, 4: 0.3796747967479675}",0.483634869,0.490295179
"(1,15)_Ge(001)_40pix_inv",tensor(0.4297),"{0: 0.8455882352941176, 1: 0.3112033195020747, 2: 0.3496042216358839, 3: 0.3234398782343988, 4: 0.4130781499202552}","{0: 0.624031007751938, 1: 0.24691358024691357, 2: 0.44166666666666665, 3: 0.39906103286384975, 4: 0.4211382113821138}",0.448582761,0.4265621
"(1,15)_Ge(001)_40pix",tensor(0.5098),"{0: 0.8454070201643017, 1: 0.42505430847212167, 2: 0.3888121546961326, 3: 0.35034013605442177, 4: 0.4926315789473684}","{0: 0.8775193798449612, 1: 0.4831275720164609, 2: 0.4691666666666667, 3: 0.29014084507042254, 4: 0.3804878048780488}",0.50044904,0.500088454
