,proto_acc,proto_precisions,proto_recalls,proto_prec_avg,proto_rec_avg
"(3,15)_TiO2(110)_40pix_inv",tensor(0.8563),"{0: 0.884809215262779, 1: 0.8317815021725636}","{0: 0.8193333333333334, 1: 0.8933333333333333}",0.8582953587176714,0.8563333333333334
"(3,15)_TiO2(110)_40pix",tensor(0.7027),"{0: 0.65653964984552, 1: 0.7873345935727788}","{0: 0.85, 1: 0.5553333333333333}",0.7219371217091495,0.7026666666666667
"(1,15)_TiO2(110)_40pix_inv",tensor(0.6620),"{0: 0.6277602523659306, 1: 0.7213114754098361}","{0: 0.796, 1: 0.528}",0.6745358638878833,0.662
"(1,15)_TiO2(110)_40pix",tensor(0.6880),"{0: 0.6435845213849287, 1: 0.7722007722007722}","{0: 0.8426666666666667, 1: 0.5333333333333333}",0.7078926467928505,0.688
"(3,15)_Si(001)_40pix_inv",tensor(0.8397),"{0: 0.8651488616462347, 1: 0.7874199184624345, 2: 0.7778576563623293, 3: 0.9516539440203562}","{0: 0.988, 1: 0.9013333333333333, 2: 0.7213333333333334, 3: 0.748}",0.8455200951228388,0.8396666666666668
"(3,15)_Si(001)_40pix",tensor(0.9583),"{0: 0.9866131191432396, 1: 0.9816824966078698, 2: 0.9241516966067864, 3: 0.9417920209287116}","{0: 0.9826666666666667, 1: 0.9646666666666667, 2: 0.926, 3: 0.96}",0.9585598333216518,0.9583333333333334
"(1,15)_Si(001)_40pix_inv",tensor(0.9062),"{0: 0.9886439545758183, 1: 0.9005736137667304, 2: 0.8296853625170999, 3: 0.9042119565217391}","{0: 0.9866666666666667, 1: 0.942, 2: 0.8086666666666666, 3: 0.8873333333333333}",0.905778721845347,0.9061666666666666
"(1,15)_Si(001)_40pix",tensor(0.9092),"{0: 1.0, 1: 0.9429657794676806, 2: 0.8310344827586207, 3: 0.8578199052132701}","{0: 0.9966666666666667, 1: 0.992, 2: 0.8033333333333333, 3: 0.8446666666666667}",0.9079550418598928,0.9091666666666667
"(3,15)_Ge(001)_40pix_inv",tensor(0.4952),"{0: 0.9867924528301887, 1: 0.31906614785992216, 2: 0.35426731078904994, 3: 0.3938260056127222, 4: 0.48660714285714285}","{0: 0.8108527131782945, 1: 0.3374485596707819, 2: 0.36666666666666664, 3: 0.39530516431924884, 4: 0.5317073170731708}",0.5081118119898052,0.4883960841816325
"(3,15)_Ge(001)_40pix",tensor(0.5278),"{0: 0.9134466769706336, 1: 0.4018759018759019, 2: 0.4073806078147612, 3: 0.3244916003536693, 4: 0.6171003717472119}","{0: 0.9162790697674419, 1: 0.45843621399176954, 2: 0.4691666666666667, 3: 0.34460093896713617, 4: 0.40487804878048783}",0.5328590317524357,0.5186721876347005
"(1,15)_Ge(001)_40pix_inv",tensor(0.4887),"{0: 0.878, 1: 0.3480845442536328, 2: 0.44371345029239767, 3: 0.41544477028348, 4: 0.4520547945205479}","{0: 0.6806201550387597, 1: 0.4337448559670782, 2: 0.5058333333333334, 3: 0.39906103286384975, 4: 0.4024390243902439}",0.5074595118700117,0.48433968031865293
"(1,15)_Ge(001)_40pix",tensor(0.4898),"{0: 0.8192771084337349, 1: 0.3815126050420168, 2: 0.3891264508246793, 3: 0.3628099173553719, 4: 0.5055118110236221}","{0: 0.8434108527131783, 1: 0.3736625514403292, 2: 0.5308333333333334, 3: 0.41220657276995304, 4: 0.26097560975609757}",0.49164757853588503,0.48421778400257837
